CISer First Name,CISer Last Name,DOB,Gender,Grade,Home Address,Youth Email,Youth Phone Number,Youth T-Shirt Size,Parent/Guardian,Parent/Guardian Phone Number,Parent/Guardian Email,Emergency Contact Name,Emergency Contact Number,Have you filled out a consent form?,7th Grade Only: Please choose which session you'd like to attend,Favourite colour
Youssef,Aziz,4/2/2009,Female,11,"101 Church Way, Hayward, CA",,,YM,Mariam Aziz,(510) 555-2001,parent1@example.com,Nader Aziz,(510) 555-3001,Yes,,orange
George,Shenouda,5/3/2011,Male,9,"102 Church Way, Hayward, CA",,,YL,Mariam Shenouda,(510) 555-2002,parent2@example.com,Nader Shenouda,(510) 555-3002,Yes,,orange
Irene,Habib,6/4/2013,Female,7,"103 Church Way, Hayward, CA",irene@example.com,,S,Mariam Habib,(510) 555-2003,parent3@example.com,Nader Habib,(510) 555-3003,Yes,Ambassadors,orange
Mariam,Rizk,7/5/2015,Male,5,"104 Church Way, Hayward, CA",,(510) 555-1004,M,Mariam Rizk,(510) 555-2004,parent4@example.com,Nader Rizk,(510) 555-3004,Yes,,orange
Veronica,Wassef,8/6/2008,Female,12,"105 Church Way, Hayward, CA",,,L,Mariam Wassef,(510) 555-2005,parent5@example.com,Nader Wassef,(510) 555-3005,No,,orange
Bishoy,Sedra,9/7/2010,Male,10,"106 Church Way, Hayward, CA",bishoy@example.com,,YS,Mariam Sedra,(510) 555-2006,parent6@example.com,Nader Sedra,(510) 555-3006,Yes,,orange
Abanoub,Fahmy,10/8/2012,Female,8,"107 Church Way, Hayward, CA",,,YM,Mariam Fahmy,(510) 555-2007,parent7@example.com,Nader Fahmy,(510) 555-3007,Yes,,orange
Mark,Ghali,11/9/2014,Male,6,"108 Church Way, Hayward, CA",,(510) 555-1008,YL,Mariam Ghali,(510) 555-2008,parent8@example.com,Nader Ghali,(510) 555-3008,Yes,,orange
Sarah,Mikhail,3/10/2016,Female,4,"109 Church Way, Hayward, CA",sarah@example.com,,S,Mariam Mikhail,(510) 555-2009,parent9@example.com,Nader Mikhail,(510) 555-3009,Yes,,orange
Peter,Malak,4/11/2009,Male,11,"110 Church Way, Hayward, CA",,,M,Mariam Malak,(510) 555-2010,parent10@example.com,Nader Malak,(510) 555-3010,No,,orange
Christina,Tadros,5/12/2011,Female,9,"111 Church Way, Hayward, CA",,,L,Mariam Tadros,(510) 555-2011,parent11@example.com,Nader Tadros,(510) 555-3011,Yes,,orange
Andrew,Hanna,6/13/2013,Male,7,"112 Church Way, Hayward, CA",andrew@example.com,(510) 555-1012,YS,Mariam Hanna,(510) 555-2012,parent12@example.com,Nader Hanna,(510) 555-3012,Yes,Juniors,orange
Marina,Naguib,7/14/2015,Female,5,"113 Church Way, Hayward, CA",,,YM,Mariam Naguib,(510) 555-2013,parent13@example.com,Nader Naguib,(510) 555-3013,Yes,,orange
Kirollos,Iskander,8/15/2008,Male,12,"114 Church Way, Hayward, CA",,,YL,Mariam Iskander,(510) 555-2014,parent14@example.com,Nader Iskander,(510) 555-3014,Yes,,orange
Demiana,Botros,9/16/2010,Female,10,"115 Church Way, Hayward, CA",demiana@example.com,,S,Mariam Botros,(510) 555-2015,parent15@example.com,Nader Botros,(510) 555-3015,No,,orange
